artist_id,tag_id,tag_name,target_post_count,total_post_count,avg_score,avg_fav_count,ratio
149086,2006053,shio_(shiofeifei),24,166,35.2916666666666667,34.8333333333333333,0.14457831325301204
121359,1655750,lynus,52,360,95.4038461538461538,129.2307692307692308,0.14444444444444443
204678,1482541,distr,90,626,156.8777777777777778,154.9222222222222222,0.14376996805111822
154876,1409763,sgt-jz,16,112,162,200.1875,0.14285714285714285
191196,1535833,teranen,49,343,27.5306122448979592,26.6530612244897959,0.14285714285714285
143318,1392535,letdie1414,27,190,200.5185185185185185,377.1481481481481481,0.14210526315789473
139040,1972188,krabbytheartist,21,149,118,172.2380952380952381,0.14093959731543623
56090,606111,ginko_(silver_fox),31,221,42.5161290322580645,69.0967741935483871,0.14027149321266968
239155,1670042,yutian_alice,18,129,177.8333333333333333,220.7222222222222222,0.13953488372093023
235499,1658658,flarefox,16,115,36,35.75,0.1391304347826087
38731,1272447,fuya_(tempupupu),93,675,141.8494623655913978,263.3548387096774194,0.13777777777777778
196744,1550364,comodomodo,21,153,43.7619047619047619,42.7142857142857143,0.13725490196078433
223859,1627906,sunset_skyline,16,117,173.75,175.375,0.13675213675213677
83788,865578,dandon_fuga,166,1216,58.0542168674698795,124.6867469879518072,0.13651315789473684
200400,1560452,todding,36,265,103.1388888888888889,104.1111111111111111,0.13584905660377358
108598,1915824,obj_shep,19,140,60.2105263157894737,110.5263157894736842,0.1357142857142857
159306,1446156,gmkj,103,763,95.4757281553398058,102.3495145631067961,0.1349934469200524
19854,434453,huyase,30,225,44.1333333333333333,66.8666666666666667,0.13333333333333333
69960,639562,ppshex,33,249,73.3636363636363636,116,0.13253012048192772
140278,1384969,sereneandsilent,29,219,66.3793103448275862,115.9310344827586207,0.1324200913242009
130909,1353855,cherry-gig,14,108,132.2857142857142857,174.7857142857142857,0.12962962962962962
102660,1257627,ebi_193,124,960,39.8306451612903226,63.8548387096774194,0.12916666666666668
88448,717760,kopianget,26,202,109.8461538461538462,161.8846153846153846,0.12871287128712872
